pages_visited,session_duration,clicks,javascript_enabled,device_type,mouse_movement,hour_of_visit,is_bot
9,376,21,1.0,mobile,1.0,16,0
22,56,64,0.0,desktop,0.0,9,1
12,58,55,0.0,desktop,0.0,8,1
19,83,55,0.0,desktop,0.0,5,1
21,41,43,0.0,desktop,0.0,17,1
19,67,58,0.0,desktop,0.0,2,1
18,71,57,0.0,desktop,0.0,17,1
5,250,17,1.0,desktop,1.0,14,0
22,59,47,0.0,desktop,0.0,15,1
7,361,22,1.0,desktop,1.0,8,0
7,302,23,1.0,desktop,1.0,18,0
24,69,47,0.0,desktop,0.0,2,1
20,51,45,0.0,mobile,0.0,12,1
8,242,16,1.0,mobile,1.0,22,0
22,62,50,0.0,desktop,0.0,9,1
7,363,10,1.0,tablet,1.0,12,0
14,39,55,0.0,desktop,0.0,13,1
16,-5,41,0.0,desktop,0.0,11,1
5,351,12,1.0,desktop,1.0,18,0
5,276,7,1.0,desktop,1.0,9,0
17,63,52,0.0,desktop,0.0,16,1
29,62,51,0.0,desktop,0.0,18,1
8,276,13,1.0,desktop,1.0,8,0
5,361,7,1.0,mobile,1.0,18,0
5,303,16,1.0,desktop,1.0,16,0
3,319,15,1.0,mobile,1.0,11,0
7,242,14,1.0,desktop,1.0,18,0
23,35,59,0.0,mobile,0.0,19,1
3,292,19,1.0,mobile,1.0,8,0
6,329,11,1.0,mobile,1.0,17,0
19,80,55,0.0,desktop,0.0,21,1
4,240,11,1.0,mobile,1.0,13,0
3,285,13,1.0,desktop,1.0,16,0
19,69,37,0.0,desktop,0.0,0,1
6,244,21,1.0,mobile,1.0,19,0
4,317,18,1.0,mobile,1.0,10,0
6,294,12,1.0,desktop,1.0,7,0
20,74,44,0.0,desktop,0.0,1,1
5,200,20,1.0,tablet,1.0,7,0
24,53,46,0.0,desktop,0.0,8,1
28,38,39,0.0,desktop,0.0,22,1
6,342,22,1.0,mobile,1.0,16,0
4,241,16,1.0,desktop,1.0,19,0
10,57,44,0.0,desktop,0.0,9,1
8,326,9,1.0,desktop,1.0,9,0
20,74,59,0.0,mobile,0.0,12,1
4,261,22,1.0,desktop,1.0,19,0
5,267,16,1.0,desktop,1.0,8,0
4,212,12,1.0,mobile,1.0,13,0
22,44,49,0.0,desktop,0.0,22,1
27,51,45,0.0,mobile,0.0,22,1
18,71,45,0.0,desktop,0.0,17,1
23,73,42,0.0,desktop,0.0,5,1
2,311,16,1.0,mobile,1.0,17,0
4,222,17,1.0,mobile,1.0,13,0
10,278,19,1.0,desktop,1.0,18,0
8,343,11,1.0,desktop,1.0,13,0
5,296,14,1.0,desktop,1.0,9,0
19,50,43,0.0,desktop,0.0,5,1
13,46,51,0.0,desktop,0.0,2,1
5,344,10,1.0,desktop,1.0,14,0
22,36,39,0.0,desktop,0.0,4,1
4,266,14,1.0,desktop,1.0,10,0
19,58,48,0.0,desktop,0.0,14,1
20,19,41,0.0,desktop,0.0,20,1
7,301,12,1.0,desktop,1.0,14,0
4,298,18,1.0,desktop,1.0,18,0
15,82,44,0.0,desktop,0.0,7,1
27,83,43,0.0,desktop,0.0,15,1
20,85,37,0.0,desktop,0.0,3,1
3,266,15,1.0,desktop,1.0,9,0
18,59,51,0.0,desktop,0.0,6,1
19,29,41,0.0,desktop,0.0,14,1
17,65,42,0.0,desktop,0.0,9,1
21,74,42,0.0,mobile,0.0,17,1
11,41,51,0.0,desktop,0.0,1,1
25,60,48,0.0,desktop,0.0,8,1
24,68,51,0.0,desktop,0.0,12,1
7,367,15,1.0,mobile,1.0,15,0
11,322,15,1.0,desktop,1.0,17,0
12,298,16,1.0,desktop,1.0,17,0
18,6,54,0.0,desktop,0.0,1,1
4,299,19,1.0,mobile,1.0,8,0
22,59,47,0.0,desktop,0.0,8,1
3,338,16,1.0,tablet,1.0,13,0
23,47,60,0.0,desktop,0.0,13,1
15,56,55,0.0,desktop,0.0,9,1
10,73,51,0.0,mobile,0.0,5,1
2,259,17,1.0,desktop,1.0,8,0
5,283,15,1.0,desktop,1.0,11,0
14,74,47,0.0,desktop,0.0,4,1
4,229,13,1.0,tablet,1.0,22,0
10,288,12,1.0,desktop,1.0,19,0
3,295,12,1.0,tablet,1.0,12,0
0,331,16,1.0,desktop,1.0,17,0
28,60,64,0.0,desktop,0.0,16,1
6,357,11,1.0,mobile,1.0,17,0
3,299,15,1.0,desktop,1.0,12,0
15,35,52,0.0,desktop,0.0,22,1
20,86,47,0.0,desktop,0.0,5,1
17,53,46,0.0,desktop,0.0,22,1
2,314,14,1.0,mobile,1.0,8,0
16,61,32,0.0,desktop,0.0,4,1
8,357,15,1.0,desktop,1.0,12,0
8,325,18,1.0,tablet,1.0,17,0
17,70,45,0.0,desktop,0.0,5,1
24,44,43,0.0,desktop,0.0,16,1
12,84,47,0.0,desktop,0.0,18,1
19,74,55,0.0,desktop,0.0,22,1
22,51,49,0.0,desktop,0.0,2,1
18,49,56,0.0,mobile,0.0,0,1
24,82,45,0.0,desktop,0.0,13,1
3,276,16,1.0,desktop,1.0,16,0
6,309,13,1.0,desktop,1.0,15,0
13,96,53,0.0,desktop,0.0,8,1
2,289,12,1.0,tablet,1.0,16,0
21,59,46,0.0,desktop,0.0,5,1
15,60,45,0.0,desktop,0.0,22,1
20,92,52,0.0,desktop,0.0,7,1
19,68,55,0.0,desktop,0.0,6,1
11,92,37,0.0,desktop,0.0,11,1
19,44,48,0.0,desktop,0.0,5,1
1,285,17,1.0,desktop,1.0,10,0
20,56,43,0.0,desktop,0.0,9,1
19,83,52,0.0,desktop,0.0,0,1
1,235,13,1.0,desktop,1.0,10,0
20,40,59,0.0,desktop,0.0,21,1
19,57,60,0.0,desktop,0.0,5,1
19,54,41,0.0,desktop,0.0,16,1
8,277,14,1.0,tablet,1.0,7,0
10,353,15,1.0,mobile,1.0,8,0
19,65,63,0.0,desktop,0.0,16,1
7,254,14,1.0,desktop,1.0,18,0
4,289,15,1.0,desktop,1.0,9,0
3,273,20,1.0,mobile,1.0,22,0
18,64,41,0.0,desktop,0.0,13,1
5,251,17,1.0,mobile,1.0,16,0
23,78,48,0.0,desktop,0.0,18,1
24,38,51,0.0,desktop,0.0,17,1
4,308,16,1.0,tablet,1.0,8,0
17,80,57,0.0,desktop,0.0,2,1
18,34,47,0.0,desktop,0.0,11,1
21,61,49,0.0,desktop,0.0,10,1
21,73,63,0.0,desktop,0.0,16,1
25,56,54,0.0,desktop,0.0,7,1
3,303,16,1.0,mobile,1.0,15,0
10,329,9,1.0,mobile,1.0,14,0
4,310,13,1.0,tablet,1.0,7,0
6,348,7,1.0,desktop,1.0,15,0
4,295,13,1.0,desktop,1.0,20,0
9,269,16,1.0,desktop,1.0,17,0
7,283,7,1.0,mobile,1.0,14,0
23,59,52,0.0,desktop,0.0,11,1
12,50,45,0.0,desktop,0.0,16,1
10,256,19,1.0,mobile,1.0,15,0
25,22,47,0.0,desktop,0.0,9,1
13,45,43,0.0,desktop,0.0,11,1
22,73,47,0.0,desktop,0.0,23,1
22,59,54,0.0,desktop,0.0,20,1
5,330,11,1.0,desktop,1.0,21,0
3,191,19,1.0,mobile,1.0,21,0
7,287,22,1.0,tablet,1.0,12,0
6,343,16,1.0,mobile,1.0,16,0
31,64,52,0.0,desktop,0.0,17,1
3,296,20,1.0,mobile,1.0,15,0
8,321,12,1.0,desktop,1.0,8,0
3,307,17,1.0,tablet,1.0,10,0
22,37,51,0.0,desktop,0.0,2,1
5,316,14,1.0,desktop,1.0,9,0
15,74,51,0.0,desktop,0.0,7,1
29,92,54,0.0,desktop,0.0,11,1
18,37,54,0.0,desktop,0.0,14,1
21,47,43,0.0,desktop,0.0,13,1
15,24,54,0.0,desktop,0.0,17,1
15,59,43,0.0,mobile,0.0,4,1
4,349,9,1.0,mobile,1.0,15,0
14,22,55,0.0,desktop,0.0,17,1
15,63,49,0.0,desktop,0.0,11,1
15,71,42,0.0,desktop,0.0,1,1
4,346,9,1.0,mobile,1.0,8,0
14,46,48,0.0,desktop,0.0,18,1
15,68,56,0.0,desktop,0.0,18,1
7,266,11,1.0,desktop,1.0,19,0
6,357,21,1.0,desktop,1.0,7,0
6,234,16,1.0,mobile,1.0,16,0
20,65,43,0.0,desktop,0.0,18,1
6,166,12,1.0,desktop,1.0,20,0
4,309,19,1.0,tablet,1.0,11,0
7,190,19,1.0,mobile,1.0,12,0
17,45,46,0.0,desktop,0.0,21,1
10,265,17,1.0,mobile,1.0,7,0
7,359,17,1.0,desktop,1.0,19,0
14,88,46,0.0,desktop,0.0,7,1
19,28,50,0.0,mobile,0.0,3,1
3,259,21,1.0,desktop,1.0,10,0
4,296,13,1.0,mobile,1.0,22,0
8,282,16,1.0,desktop,1.0,20,0
18,43,40,0.0,desktop,0.0,21,1
6,267,18,1.0,desktop,1.0,15,0
7,249,13,1.0,tablet,1.0,7,0
21,68,44,0.0,desktop,0.0,8,1
2,237,20,1.0,desktop,1.0,11,0
17,62,43,0.0,desktop,0.0,23,1
1,271,13,1.0,desktop,1.0,7,0
23,45,57,0.0,desktop,0.0,15,1
9,344,9,1.0,desktop,1.0,21,0
23,53,59,0.0,desktop,0.0,22,1
18,93,47,0.0,desktop,0.0,14,1
2,289,14,1.0,tablet,1.0,20,0
14,73,49,0.0,desktop,0.0,19,1
19,17,51,0.0,desktop,0.0,18,1
26,61,57,0.0,desktop,0.0,7,1
3,246,24,1.0,mobile,1.0,13,0
5,351,24,1.0,mobile,1.0,21,0
27,63,58,0.0,desktop,0.0,18,1
16,50,50,0.0,desktop,0.0,9,1
22,46,63,0.0,desktop,0.0,1,1
21,58,54,0.0,mobile,0.0,19,1
22,74,54,0.0,desktop,0.0,20,1
4,218,18,1.0,mobile,1.0,11,0
20,66,48,0.0,desktop,0.0,18,1
5,398,15,1.0,desktop,1.0,14,0
8,438,13,1.0,desktop,1.0,10,0
23,65,56,0.0,desktop,0.0,20,1
18,58,49,0.0,desktop,0.0,19,1
19,29,46,0.0,desktop,0.0,15,1
5,286,17,1.0,desktop,1.0,20,0
24,79,59,0.0,desktop,0.0,7,1
20,60,51,0.0,desktop,0.0,18,1
21,96,54,0.0,desktop,0.0,6,1
29,45,39,0.0,desktop,0.0,13,1
1,220,21,1.0,tablet,1.0,13,0
4,329,17,1.0,desktop,1.0,13,0
1,314,11,1.0,desktop,1.0,11,0
19,71,44,0.0,mobile,0.0,17,1
9,234,10,1.0,desktop,1.0,20,0
6,283,12,1.0,mobile,1.0,10,0
10,62,68,0.0,mobile,0.0,9,1
21,38,70,0.0,desktop,0.0,14,1
4,283,16,1.0,tablet,1.0,13,0
4,270,12,1.0,desktop,1.0,20,0
17,81,48,0.0,desktop,0.0,2,1
1,282,13,1.0,desktop,1.0,12,0
8,243,19,1.0,tablet,1.0,19,0
24,62,60,0.0,desktop,0.0,7,1
19,67,43,0.0,desktop,0.0,23,1
5,303,12,1.0,mobile,1.0,14,0
8,237,18,1.0,desktop,1.0,20,0
21,46,55,0.0,desktop,0.0,23,1
26,39,45,0.0,desktop,0.0,1,1
6,326,14,1.0,mobile,1.0,11,0
11,291,14,1.0,desktop,1.0,7,0
8,372,11,1.0,mobile,1.0,7,0
17,44,47,0.0,desktop,0.0,0,1
5,314,15,1.0,desktop,1.0,21,0
3,286,12,1.0,mobile,1.0,12,0
22,44,64,0.0,desktop,0.0,22,1
21,69,43,0.0,desktop,0.0,0,1
6,277,15,1.0,desktop,1.0,20,0
18,92,53,0.0,desktop,0.0,18,1
23,51,56,0.0,desktop,0.0,5,1
16,40,54,0.0,desktop,0.0,1,1
2,260,13,1.0,desktop,1.0,19,0
7,189,13,1.0,tablet,1.0,19,0
3,384,21,1.0,mobile,1.0,14,0
27,88,51,0.0,desktop,0.0,14,1
25,42,38,0.0,mobile,0.0,10,1
17,58,51,0.0,desktop,0.0,15,1
20,43,49,0.0,desktop,0.0,7,1
19,50,50,0.0,desktop,0.0,12,1
3,342,15,1.0,desktop,1.0,19,0
2,300,20,1.0,desktop,1.0,21,0
3,272,12,1.0,mobile,1.0,22,0
4,359,16,1.0,desktop,1.0,18,0
19,72,57,0.0,mobile,0.0,11,1
4,335,9,1.0,mobile,1.0,18,0
3,288,16,1.0,mobile,1.0,11,0
7,264,13,1.0,desktop,1.0,10,0
19,59,46,0.0,desktop,0.0,6,1
7,346,10,1.0,mobile,1.0,12,0
3,349,12,1.0,desktop,1.0,12,0
23,70,46,0.0,desktop,0.0,17,1
34,74,34,0.0,desktop,0.0,7,1
6,294,7,1.0,mobile,1.0,9,0
6,320,17,1.0,desktop,1.0,15,0
20,59,42,0.0,desktop,0.0,15,1
5,269,15,1.0,mobile,1.0,11,0
3,311,13,1.0,desktop,1.0,14,0
2,359,8,1.0,desktop,1.0,12,0
3,307,13,1.0,mobile,1.0,15,0
22,27,51,0.0,desktop,0.0,16,1
25,36,54,0.0,desktop,0.0,15,1
6,327,21,1.0,desktop,1.0,13,0
6,408,12,1.0,desktop,1.0,9,0
27,60,39,0.0,desktop,0.0,16,1
19,60,44,0.0,desktop,0.0,8,1
7,297,18,1.0,mobile,1.0,15,0
18,29,48,0.0,desktop,0.0,14,1
3,375,17,1.0,mobile,1.0,11,0
20,81,49,0.0,desktop,0.0,1,1
16,55,59,0.0,desktop,0.0,11,1
2,281,14,1.0,desktop,1.0,12,0
20,75,59,0.0,desktop,0.0,23,1
22,37,45,0.0,desktop,0.0,12,1
10,300,16,1.0,mobile,1.0,21,0
18,91,54,0.0,desktop,0.0,18,1
10,268,16,1.0,desktop,1.0,13,0
7,288,16,1.0,mobile,1.0,13,0
4,341,13,1.0,mobile,1.0,22,0
8,270,13,1.0,tablet,1.0,15,0
15,71,55,0.0,desktop,0.0,3,1
19,58,56,0.0,desktop,0.0,5,1
0,333,15,1.0,desktop,1.0,14,0
19,64,46,0.0,desktop,0.0,0,1
7,350,18,1.0,desktop,1.0,7,0
6,308,16,1.0,tablet,1.0,10,0
7,267,15,1.0,desktop,1.0,8,0
5,284,12,1.0,mobile,1.0,7,0
22,84,55,0.0,desktop,0.0,8,1
20,64,43,0.0,desktop,0.0,21,1
2,305,20,1.0,mobile,1.0,21,0
1,288,11,1.0,desktop,1.0,16,0
15,13,47,0.0,desktop,0.0,17,1
11,47,57,0.0,desktop,0.0,2,1
20,27,59,0.0,desktop,0.0,4,1
11,241,19,1.0,desktop,1.0,19,0
25,44,51,0.0,desktop,0.0,10,1
5,263,10,1.0,mobile,1.0,8,0
13,38,51,0.0,desktop,0.0,19,1
19,50,46,0.0,desktop,0.0,22,1
9,303,17,1.0,mobile,1.0,10,0
17,93,42,0.0,desktop,0.0,20,1
22,53,60,0.0,desktop,0.0,14,1
26,62,45,0.0,desktop,0.0,20,1
23,74,43,0.0,mobile,0.0,23,1
15,70,43,0.0,desktop,0.0,14,1
8,317,13,1.0,desktop,1.0,7,0
18,55,46,0.0,desktop,0.0,19,1
5,308,13,1.0,desktop,1.0,8,0
10,371,13,1.0,desktop,1.0,16,0
21,73,56,0.0,desktop,0.0,10,1
26,53,64,0.0,desktop,0.0,14,1
4,239,13,1.0,desktop,1.0,13,0
24,38,48,0.0,desktop,0.0,21,1
16,51,48,0.0,desktop,0.0,14,1
3,264,19,1.0,desktop,1.0,21,0
14,34,50,0.0,desktop,0.0,7,1
8,294,18,1.0,tablet,1.0,21,0
9,213,16,1.0,mobile,1.0,14,0
25,50,56,0.0,desktop,0.0,13,1
21,71,56,0.0,desktop,0.0,13,1
4,318,19,1.0,mobile,1.0,8,0
13,65,65,0.0,desktop,0.0,12,1
8,304,22,1.0,tablet,1.0,11,0
4,358,18,1.0,desktop,1.0,15,0
6,253,21,1.0,mobile,1.0,19,0
3,388,20,1.0,desktop,1.0,15,0
18,25,58,0.0,desktop,0.0,16,1
22,78,54,0.0,desktop,0.0,5,1
4,289,17,1.0,mobile,1.0,13,0
15,41,49,0.0,desktop,0.0,6,1
6,251,13,1.0,mobile,1.0,14,0
19,80,59,0.0,desktop,0.0,3,1
3,239,14,1.0,mobile,1.0,7,0
17,51,50,0.0,desktop,0.0,10,1
7,330,13,1.0,mobile,1.0,11,0
6,274,15,1.0,tablet,1.0,22,0
19,79,63,0.0,desktop,0.0,14,1
19,86,52,0.0,desktop,0.0,2,1
19,77,54,0.0,desktop,0.0,22,1
7,284,12,1.0,mobile,1.0,17,0
16,30,57,0.0,desktop,0.0,11,1
7,371,19,1.0,mobile,1.0,17,0
16,52,46,0.0,desktop,0.0,17,1
8,309,12,1.0,desktop,1.0,10,0
17,72,63,0.0,desktop,0.0,14,1
28,58,57,0.0,mobile,0.0,2,1
5,221,12,1.0,desktop,1.0,7,0
4,244,13,1.0,mobile,1.0,15,0
6,282,16,1.0,desktop,1.0,16,0
4,261,20,1.0,mobile,1.0,22,0
3,206,13,1.0,desktop,1.0,19,0
24,85,37,0.0,desktop,0.0,19,1
3,316,18,1.0,mobile,1.0,11,0
5,352,16,1.0,tablet,1.0,17,0
6,242,11,1.0,desktop,1.0,12,0
22,54,38,0.0,desktop,0.0,14,1
4,296,11,1.0,desktop,1.0,19,0
3,291,10,1.0,desktop,1.0,20,0
7,214,16,1.0,desktop,1.0,16,0
1,274,14,1.0,mobile,1.0,14,0
14,55,49,0.0,desktop,0.0,3,1
25,107,44,0.0,desktop,0.0,15,1
5,285,17,1.0,desktop,1.0,11,0
9,75,52,0.0,desktop,0.0,8,1
23,51,51,0.0,desktop,0.0,16,1
5,333,13,1.0,mobile,1.0,16,0
18,85,42,0.0,desktop,0.0,15,1
8,379,14,1.0,desktop,1.0,7,0
8,290,8,1.0,desktop,1.0,13,0
21,68,41,0.0,desktop,0.0,12,1
17,45,47,0.0,mobile,0.0,13,1
19,70,48,0.0,desktop,0.0,12,1
15,73,53,0.0,desktop,0.0,2,1
3,258,18,1.0,desktop,1.0,12,0
26,58,50,0.0,desktop,0.0,4,1
22,68,49,0.0,desktop,0.0,3,1
3,236,17,1.0,desktop,1.0,19,0
6,331,14,1.0,desktop,1.0,15,0
14,74,38,0.0,desktop,0.0,21,1
22,85,44,0.0,desktop,0.0,16,1
19,30,47,0.0,desktop,0.0,11,1
22,67,51,0.0,desktop,0.0,6,1
2,325,13,1.0,mobile,1.0,10,0
5,305,10,1.0,mobile,1.0,20,0
11,287,8,1.0,mobile,1.0,17,0
7,271,13,1.0,desktop,1.0,9,0
7,368,17,1.0,mobile,1.0,8,0
13,91,39,0.0,mobile,0.0,12,1
6,258,13,1.0,desktop,1.0,8,0
5,381,15,1.0,mobile,1.0,14,0
1,187,15,1.0,tablet,1.0,19,0
30,44,51,0.0,desktop,0.0,20,1
20,84,49,0.0,desktop,0.0,16,1
3,327,18,1.0,desktop,1.0,8,0
27,82,43,0.0,desktop,0.0,16,1
19,43,45,0.0,desktop,0.0,0,1
20,42,45,0.0,desktop,0.0,15,1
24,60,50,0.0,desktop,0.0,18,1
8,364,14,1.0,tablet,1.0,11,0
28,77,57,0.0,desktop,0.0,23,1
15,45,49,0.0,desktop,0.0,19,1
4,321,13,1.0,mobile,1.0,13,0
16,26,45,0.0,desktop,0.0,20,1
20,40,54,0.0,desktop,0.0,13,1
3,358,12,1.0,desktop,1.0,14,0
1,290,15,1.0,desktop,1.0,22,0
34,45,60,0.0,desktop,0.0,10,1
31,77,50,0.0,desktop,0.0,0,1
8,427,17,1.0,mobile,1.0,14,0
16,61,54,0.0,desktop,0.0,13,1
4,283,20,1.0,desktop,1.0,12,0
5,323,10,1.0,desktop,1.0,21,0
14,56,55,0.0,desktop,0.0,21,1
6,266,21,1.0,mobile,1.0,20,0
17,73,52,0.0,desktop,0.0,11,1
5,260,9,1.0,mobile,1.0,9,0
4,306,17,1.0,tablet,1.0,20,0
24,50,50,0.0,desktop,0.0,22,1
7,268,17,1.0,desktop,1.0,9,0
17,59,54,0.0,desktop,0.0,6,1
2,289,13,1.0,desktop,1.0,12,0
2,203,20,1.0,desktop,1.0,22,0
17,75,58,0.0,desktop,0.0,1,1
4,255,15,1.0,mobile,1.0,14,0
5,324,12,1.0,mobile,1.0,15,0
19,58,50,0.0,desktop,0.0,14,1
18,67,52,0.0,desktop,0.0,9,1
5,230,18,1.0,desktop,1.0,12,0
7,246,18,1.0,mobile,1.0,8,0
19,64,41,0.0,desktop,0.0,6,1
18,44,51,0.0,desktop,0.0,14,1
6,362,7,1.0,mobile,1.0,14,0
22,25,57,0.0,desktop,0.0,4,1
15,57,57,0.0,desktop,0.0,20,1
23,65,46,0.0,desktop,0.0,7,1
5,208,15,1.0,desktop,1.0,17,0
21,61,45,0.0,desktop,0.0,10,1
5,339,20,1.0,desktop,1.0,12,0
20,43,48,0.0,desktop,0.0,20,1
23,95,45,0.0,desktop,0.0,12,1
7,242,17,1.0,desktop,1.0,22,0
12,64,50,0.0,desktop,0.0,22,1
16,47,50,0.0,desktop,0.0,17,1
6,333,10,1.0,mobile,1.0,14,0
21,35,48,0.0,desktop,0.0,2,1
6,245,15,1.0,desktop,1.0,9,0
6,235,14,1.0,desktop,1.0,18,0
21,80,61,0.0,desktop,0.0,9,1
5,271,19,1.0,desktop,1.0,17,0
18,67,44,0.0,desktop,0.0,16,1
3,347,11,1.0,mobile,1.0,7,0
23,51,47,0.0,desktop,0.0,16,1
2,248,20,1.0,desktop,1.0,11,0
19,51,48,0.0,mobile,0.0,22,1
12,78,50,0.0,desktop,0.0,11,1
7,312,16,1.0,mobile,1.0,16,0
23,92,45,0.0,desktop,0.0,14,1
2,295,16,1.0,desktop,1.0,16,0
3,268,20,1.0,desktop,1.0,10,0
24,96,32,0.0,mobile,0.0,21,1
5,213,21,1.0,desktop,1.0,19,0
19,61,48,0.0,desktop,0.0,22,1
3,257,15,1.0,desktop,1.0,12,0
17,64,42,0.0,desktop,0.0,11,1
4,312,14,1.0,mobile,1.0,17,0
23,91,56,0.0,desktop,0.0,16,1
19,52,47,0.0,mobile,0.0,14,1
13,64,63,0.0,mobile,0.0,4,1
18,78,50,0.0,desktop,0.0,8,1
27,93,52,0.0,desktop,0.0,14,1
17,75,53,0.0,mobile,0.0,23,1
10,242,10,1.0,desktop,1.0,19,0
6,281,18,1.0,desktop,1.0,13,0
15,57,60,0.0,desktop,0.0,7,1
21,20,61,0.0,desktop,0.0,18,1
21,79,46,0.0,desktop,0.0,18,1
18,55,44,0.0,desktop,0.0,20,1
18,79,50,0.0,mobile,0.0,5,1
2,360,15,1.0,mobile,1.0,8,0
3,335,10,1.0,desktop,1.0,15,0
1,313,10,1.0,desktop,1.0,19,0
20,75,51,0.0,desktop,0.0,10,1
20,51,62,0.0,desktop,0.0,14,1
20,29,57,0.0,desktop,0.0,17,1
5,272,12,1.0,mobile,1.0,19,0
20,50,52,0.0,desktop,0.0,15,1
13,69,45,0.0,desktop,0.0,1,1
10,39,35,0.0,desktop,0.0,10,1
16,62,48,0.0,desktop,0.0,11,1
8,289,21,1.0,mobile,1.0,21,0
5,274,10,1.0,mobile,1.0,14,0
6,316,9,1.0,desktop,1.0,17,0
3,288,11,1.0,desktop,1.0,8,0
4,370,16,1.0,desktop,1.0,17,0
18,66,51,0.0,desktop,0.0,13,1
7,332,17,1.0,desktop,1.0,17,0
19,28,51,0.0,desktop,0.0,4,1
3,245,13,1.0,tablet,1.0,11,0
4,259,15,1.0,mobile,1.0,10,0
5,296,20,1.0,mobile,1.0,17,0
4,255,14,1.0,desktop,1.0,9,0
23,12,48,0.0,desktop,0.0,13,1
25,52,58,0.0,desktop,0.0,20,1
7,237,11,1.0,desktop,1.0,12,0
7,434,24,1.0,mobile,1.0,10,0
18,57,60,0.0,desktop,0.0,17,1
9,299,10,1.0,desktop,1.0,17,0
3,274,20,1.0,mobile,1.0,11,0
6,246,8,1.0,desktop,1.0,16,0
5,265,11,1.0,mobile,1.0,9,0
25,77,47,0.0,desktop,0.0,14,1
15,2,52,0.0,desktop,0.0,4,1
4,321,20,1.0,desktop,1.0,16,0
5,262,13,1.0,mobile,1.0,15,0
13,58,52,0.0,desktop,0.0,4,1
4,281,19,1.0,mobile,1.0,20,0
23,79,46,0.0,desktop,0.0,0,1
9,272,13,1.0,mobile,1.0,14,0
19,98,46,0.0,desktop,0.0,15,1
4,373,12,1.0,tablet,1.0,12,0
6,218,16,1.0,mobile,1.0,16,0
21,38,56,0.0,desktop,0.0,15,1
5,331,15,1.0,mobile,1.0,18,0
7,298,14,1.0,desktop,1.0,13,0
7,330,16,1.0,desktop,1.0,18,0
26,37,47,0.0,desktop,0.0,8,1
23,65,57,0.0,desktop,0.0,19,1
3,288,11,1.0,desktop,1.0,19,0
23,48,54,0.0,desktop,0.0,15,1
23,53,57,0.0,desktop,0.0,19,1
4,352,17,1.0,mobile,1.0,20,0
1,264,20,1.0,mobile,1.0,12,0
22,93,42,0.0,desktop,0.0,3,1
6,317,16,1.0,mobile,1.0,20,0
20,40,51,0.0,desktop,0.0,21,1
16,28,56,0.0,desktop,0.0,13,1
6,264,17,1.0,mobile,1.0,12,0
